Loc_num,year,dms_image_id
6106,2022,521867
7213,2022,840829
6041,2022,624592
6067,2022,20894
6067,2022,528155
6067,2022,167944
6013,2022,532207
6013,2022,692504
6123,2022,549749
6086,2022,255964
6123,2022,168858
6040,2022,538888
6107,2022,311311
6055,2022,5320
6041,2022,739065
6106,2022,540479
7276,2022,95832
6067,2022,381357
6123,2022,153249
6055,2022,283254
7213,2022,137197
6106,2022,95112
6041,2022,644179
7213,2022,892392
7276,2022,747402
7213,2022,593768
7276,2022,90867
6123,2022,363542
6107,2022,724125
7213,2022,307052
6011,2022,707475
6041,2022,544943
6013,2022,756409
6123,2022,300757
6086,2022,759215
6086,2022,102660
6086,2022,750536
7213,2022,190079
6123,2022,128386
6040,2022,292466
6067,2022,360630
6040,2022,323650
6013,2022,633603
6040,2022,480657
6040,2022,537470
6067,2022,213980
6086,2022,338404
6055,2022,389171
6107,2022,108726
6055,2022,268093
6086,2022,78680
6107,2022,57832
6107,2022,75034
6041,2022,399673
6055,2022,226213
6041,2022,121634
7213,2022,742526
6107,2022,398013
7213,2022,670162
6013,2022,544227
6067,2022,435572
6067,2022,731934
6040,2022,249588
6106,2022,832943
6055,2022,570877
6086,2022,192578
6123,2022,602144
6106,2022,688893
6013,2022,32946
6013,2022,338731
7276,2022,670727
6086,2022,324989
6040,2022,211818
6011,2022,99550
6013,2022,578787
6123,2022,357688
7276,2022,853199
7276,2022,80610
6011,2022,201025
6086,2022,312829
6067,2022,329894
6040,2022,321391
6106,2022,6327
6013,2022,240456
6106,2022,682273
6040,2022,500332
6040,2022,109745
6106,2022,118164
6106,2022,680249
7276,2022,399273
7276,2022,635335
6011,2022,495281
6013,2022,389405
6013,2022,642020
6107,2022,783291
7276,2022,554955
6123,2022,475975
6106,2022,728948
6086,2022,815743
6107,2022,467262
6013,2022,86008
6107,2022,155884
6011,2022,732757
6107,2022,71975
6041,2022,485337
7276,2022,501151
6055,2022,9027
6013,2022,595950
6013,2022,147585
6055,2022,650656
6067,2022,768296
6013,2022,862260
6011,2022,74468
6055,2022,65414
6011,2022,30755
6086,2022,736133
6055,2022,791505
7276,2022,251993
6086,2022,394042
6040,2022,120531
6106,2022,364131
6013,2022,666566
6086,2022,400126
6055,2022,704561
6040,2022,542800
7213,2022,530107
6041,2022,297812
6011,2022,54973
6107,2022,470910
6040,2022,57061
6123,2022,848459
6067,2022,569927
6041,2022,215152
6067,2022,684755
6011,2022,189528
6013,2022,893508
6040,2022,813570
6055,2022,851784
6086,2022,801703
6106,2022,640023
6013,2022,725000
6067,2022,749088
6055,2022,396853
6040,2022,422014
6040,2022,582477
6040,2022,771732
6041,2022,839523
7213,2022,95754
6086,2022,844632
6107,2022,509107
6106,2022,851114
6040,2022,741787
6086,2022,267034
6067,2022,586265
6123,2022,693644
6067,2022,70302
6011,2022,519880
6055,2022,286901
6123,2022,52674
6040,2022,103185
6013,2022,501275
6013,2022,575684
6041,2022,432177
6040,2022,617109
6040,2022,620161
6055,2022,78586
6013,2022,204564
7276,2022,719865
7276,2022,212284
6055,2022,626852
6086,2022,314907
6041,2022,269080
6067,2022,404774
6123,2022,828908
6041,2022,565201
6067,2022,281364
6086,2022,810437
6106,2022,879211
6106,2022,103092
6011,2022,189407
6086,2022,441872
6106,2022,676142
6013,2022,334926
7276,2022,252307
6123,2022,515831
6040,2022,179181
6106,2022,227527
6040,2022,675135
6106,2022,545377
6055,2022,20773
6067,2022,40858
6041,2022,866878
6013,2022,604863
6086,2022,659487
6106,2022,535342
6106,2022,113053
6106,2022,464703
6086,2022,689759
6086,2022,90965
6123,2022,5605
6040,2022,88283
6106,2022,412333
6055,2022,676103
6011,2022,213176
6107,2022,509416
6086,2022,654726
7276,2022,285680
7276,2022,43601
6067,2022,175449
6086,2022,172142
6055,2022,424478
6055,2022,732937
6041,2022,669805
6041,2022,438397
6086,2022,453323
7213,2022,183534
7213,2022,255398
6107,2022,181563
6013,2022,302249
7213,2022,558810
6040,2022,295444
6067,2022,754052
7276,2022,601824
6040,2022,371430
6123,2022,181105
6086,2022,137980
6055,2022,78757
6040,2022,843439
6013,2022,562153
6107,2022,141237
6041,2022,870394
6106,2022,170642
6011,2022,606102
7213,2022,138209
6011,2022,867128
6055,2022,169316
7276,2022,774027
6041,2022,119458
6067,2022,599429
6086,2022,765251
6011,2022,61426
7213,2022,384967
6040,2022,880279
6011,2022,372910
6067,2022,483905
6067,2022,891291
6107,2022,25465
6067,2022,876962
6106,2022,70763
6055,2022,687717
7276,2022,709215
7213,2022,205788
6041,2022,512843
6123,2022,823022
6040,2022,212478
6040,2022,332538
6055,2022,584138
6107,2022,204653
6106,2022,724110
6040,2022,108996
7213,2022,575417
7276,2022,354189
6040,2022,98287
6107,2022,563814
7276,2022,435056
6086,2022,384050
6067,2022,555497
6106,2022,463299
6040,2022,813171
6013,2022,626234
6123,2022,375107
6055,2022,287283
6123,2022,883982
6123,2022,880490
6011,2022,806052
6041,2022,222665
6106,2022,692172
6086,2022,541395
6013,2022,355632
6040,2022,412944
6055,2022,292390
7276,2022,232395
7276,2022,424881
6011,2022,99272
6123,2022,365047
6107,2022,301009
6041,2022,780096
7213,2022,832001
6123,2022,20890
6086,2022,126600
6041,2022,761920
6040,2022,51820
6055,2022,29063
6041,2022,414821
6086,2022,804087
6041,2022,552578
6011,2022,308787
6107,2022,755698
6107,2022,615194
6107,2022,732645
6086,2022,358019
6123,2022,888547
6055,2022,102792
7276,2022,71424
6013,2022,450110
