 documentType, dealerId, dealerName, dealerIdentifier, repId, fileName,originFileCreationTS, originFileRequestTS, expirationDate
WRS,120489,AutomationTesting,Testing_Automation,12345,Automation_TIFF_merch_b2b_0001,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12346,Automation_TIFF_merch_b2b_0002,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12347,Automation_TIFF_merch_b2b_0003,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12348,Automation_TIFF_merch_b2b_0004,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12349,Automation_TIFF_merch_b2b_0005,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12350,Automation_TIFF_merch_b2b_0006,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12351,Automation_TIFF_merch_b2b_0007,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12352,Automation_TIFF_merch_b2b_0008,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12353,Automation_TIFF_merch_b2b_0009,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12354,Automation_TIFF_merch_b2b_0010,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12355,Automation_TIFF_merch_b2b_0011,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12356,Automation_TIFF_merch_b2b_0012,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12357,Automation_TIFF_merch_b2b_0013,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12358,Automation_TIFF_merch_b2b_0014,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12359,Automation_TIFF_merch_b2b_0015,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12360,Automation_TIFF_merch_b2b_0016,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12361,Automation_TIFF_merch_b2b_0017,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12362,Automation_TIFF_merch_b2b_0018,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12363,Automation_TIFF_merch_b2b_0019,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12364,Automation_TIFF_merch_b2b_0020,2022-10-25,2022-10-26,2023-12-31
WRS,120489,AutomationTesting,Testing_Automation,12365,Automation_TIFF_merch_b2b_0021,2022-10-25,2022-10-26,2023-12-31
